words,eng,kor,category,page,level,date
she,She grinds her teeth when she is asleep.,그녀는 잘 때 이를 간다.,공식 예문,1,중급,2020/01/07 22:39:45
she,She was fearful that she would fail.,그녀는 실패할까 봐 걱정이 되었다.,공식 예문,1,중급,2020/01/07 22:39:52
she,As she sang she strummed on a guitar.,그녀는 노래를 부르며 기타를 쳤다.,공식 예문,1,중급,2020/01/07 22:39:59
she,She wrenched her knee when she fell.,그녀는 넘어지면서 무릎을 접질렀다.,공식 예문,1,중급,2020/01/07 22:40:07
she,She had repented of what she had done.,그녀는 자신이 한 일을 후회했었다.,공식 예문,1,중급,2020/01/07 22:40:14
she,She begged that she be allowed to go.,그녀는 가도록 허락해 달라고 간청했다.,공식 예문,1,중급,2020/01/07 22:40:21
she,She listens but she never joins in.,그녀는 (말을) 듣기만 하지 절대 끼어들지 않는다.,공식 예문,1,중급,2020/01/07 22:40:28
she,She always does exactly as she pleases.,그녀는 항상 꼭 자기 하고 싶은 대로 한다.,공식 예문,1,중급,2020/01/07 22:40:35
she,She was applauded as she came on stage.,그녀는 무대에 등장하면서 박수를 받았다.,공식 예문,1,중급,2020/01/07 22:40:42
she,She fancied (that) she could hear footsteps.,그녀는 발자국 소리가 들린다고 생각했다.,공식 예문,1,중급,2020/01/07 22:40:49
she,She begged that she should be allowed to go.,그녀는 가도록 허락해 달라고 간청했다.,공식 예문,1,중급,2020/01/07 22:40:56
she,She pretended an interest she did not feel.,그녀는 생기지도 않는 관심이 있는 척했다.,공식 예문,1,중급,2020/01/07 22:41:04
she,She denied that she had turned traitor.,그녀는 자신이 반역자가 되었다는 것을 부인했다.,공식 예문,1,중급,2020/01/07 22:41:11
she,She had a dimple which appeared when she smiled.,그녀는 미소를 지으면 보조개가 생겼다.,공식 예문,1,중급,2020/01/07 22:41:18
she,She looked so dejected when she lost the game.,그 경기에 진 그녀는 몹시 낙담한 모습이었다.,공식 예문,1,중급,2020/01/07 22:41:25
refrigerator,"They are called refrigerator pants because when you wear them, you stay cool just like a refrigerator.",이것은 입으면 냉장고처럼 시원해서 냉장고 바지라고 불러진다.,공식 예문,1,고급,2020/01/07 22:44:45
refrigerator,Kimchi refrigerators also serve as second refrigerators used to store other foods or beverages in many homes.,김치 냉장고는 또한 많은 가정에서 다른 음식이나 음료를 저장하는 두 번째 냉장고로서의 역할도 한다.,공식 예문,1,고급,2020/01/07 22:44:52
refrigerator,"In addition to a sitting balcony, refrigerator and standard in-room amenities, these rooms feature a microwave oven, tile entryway and vanity.","앉아서 쉴 수 있는 발코니와 냉장고, 기본 객실 제공 물품 외에 전자레인지가 제공되며 입구와 욕실이 타일로 꾸며져 있습니다.",공식 예문,1,고급,2020/01/07 22:44:59
refrigerator,"In the meantime, large numbers of redundant refrigerators will be accumulating in the hands of either the local authorities or the collectors of these machines.","한편, 많은 수의 불필요한 냉장고들이 지역 당국과 기계를 모으는 사람들 손에 모일 것이다",이용자 참여,1,고급,2020/01/07 22:47:14
refrigerator,"Among the top refrigerator producers in the world; even in UK, one of every 10 refrigerators is made in Turkey.","세계 최고의 냉장고 생산자들 중; 심지어 영국에서도, 10개의 냉장고 중 하나는 터키에서 만들어진다.",자동 번역,1,고급,2020/01/07 22:47:19
refrigerator,"Turkey is among the top refrigerator producers in the world; even in UK, one out of every 10 refrigerators is made in Turkey.",터키는 세계 최고의 냉장고 생산국 중 하나이다. 심지어 영국에서도 10개 중 1개는 터키에서 만들어진다.,자동 번역,1,고급,2020/01/07 22:47:24
refrigerator,"A refrigerator, two-ring hob and a wall-mounted microwave and extractor hood are squeezed into the lobby area.","냉장고, 2-링 호브, 벽걸이형 전자레인지와 추출기 후드가 로비 구역으로 압착된다.",자동 번역,1,고급,2020/01/07 22:47:29
refrigerator,Mr. Ridley : Recycling the coolant in the motors of refrigerators and the foam in their doors is very complex.,Ridley씨 : 냉장고 모터의 냉각수를 재활용하는 것과 문 안의 거품을 재활용하는 것은 매우 복잡하다.,자동 번역,1,고급,2020/01/07 22:47:34
refrigerator,The percentage of damaged refrigerators which have lost most or all of the coolant varies between 40 per cent.,냉각수의 대부분 또는 전부를 상실한 냉장고의 비율은 40%로 다양하다.,자동 번역,1,고급,2020/01/07 22:47:39
refrigerator,The fact is that the Government are reimbursing only about two thirds of the cost of disposing of refrigerators.,사실은 정부가 냉장고 폐기 비용의 약 3분의 2만 보상하고 있다는 것이다.,자동 번역,1,고급,2020/01/07 22:47:43
refrigerator,Councils are tempted to put up fees for everything from eradicating wasps to disposing of defunct refrigerators.,의회는 말벌 퇴치에서부터 폐 냉장고의 폐기까지 모든 것에 대한 수수료를 올리고 싶어 한다.,자동 번역,1,고급,2020/01/07 22:47:48
refrigerator,Domestic and small commercial refrigerators are manufactured with hermetic seals and so are designed not to leak.,국내와 소형 상업용 냉장고는 밀봉된 밀봉으로 제조되므로 누출되지 않도록 설계되어 있다.,자동 번역,1,고급,2020/01/07 22:47:53
refrigerator,The payments from the Social Fund are based on the purchase price of cheap appliances (eg cookers and refrigerators).,사회 기금으로부터의 지불은 값싼 가전제품(예: 조리기 및 냉장고)의 구입 가격에 기초한다.,자동 번역,1,고급,2020/01/07 22:47:58
refrigerator,"People have argued that hairsprays, hamburger packaging and refrigerator gases are causing holes in the ozone layer.","사람들은 헤어스프레이, 햄버거 포장, 냉장고 가스가 오존층에 구멍을 내고 있다고 주장해왔다.",자동 번역,1,고급,2020/01/07 22:48:03
refrigerator,The topic was the recovery of CFC from domestic refrigerators where both foams and refrigeration circuits were concerned.,화제는 포우와 냉동 회로가 모두 관련된 국내 냉장고에서 CFC를 회수하는 것이었다.,자동 번역,1,고급,2020/01/07 22:48:08
